suite,family,direction,method,case_id,h100_status,h100_parameters,h100_samples,h100_cycle_median,b200_status,b200_parameters,b200_samples,b200_cycle_median,ventus_status,ventus_parameters,ventus_samples,ventus_cycle,notes
feature,oob,g2s,tma,oob_25,passed,bytes=4096;rank=2;layout=oob25;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=2;layout=oob25;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=4096;rank=2;layout=oob25;outstanding=1;ctas=1;batch=0,1,229,exact numeric parameters
feature,oob,g2s,tma,oob_50,passed,bytes=4096;rank=2;layout=oob50;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=2;layout=oob50;outstanding=1;ctas=1;batch=0,6,558,passed,bytes=4096;rank=2;layout=oob50;outstanding=1;ctas=1;batch=0,1,229,exact numeric parameters
feature,outstanding,g2s,tma,outstanding_1,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,507.500,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,469,not_in_ventus_list,,0,,exact numeric parameters
feature,outstanding,g2s,tma,outstanding_2,passed,bytes=4096;rank=2;layout=contiguous;outstanding=2;ctas=1;batch=0,6,646,passed,bytes=4096;rank=2;layout=contiguous;outstanding=2;ctas=1;batch=0,6,685,not_in_ventus_list,,0,,exact numeric parameters
feature,outstanding,g2s,tma,outstanding_4,passed,bytes=4096;rank=2;layout=contiguous;outstanding=4;ctas=1;batch=0,6,1050,passed,bytes=4096;rank=2;layout=contiguous;outstanding=4;ctas=1;batch=0,6,1212.500,not_in_ventus_list,,0,,exact numeric parameters
feature,outstanding,g2s,tma,outstanding_8,passed,bytes=4096;rank=2;layout=contiguous;outstanding=8;ctas=1;batch=0,6,1951,passed,bytes=4096;rank=2;layout=contiguous;outstanding=8;ctas=1;batch=0,6,2487,not_in_ventus_list,,0,,exact numeric parameters
feature,overlap,overlap,compute_only,overlap_4k,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,28739,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,23617,not_in_ventus_list,,0,,exact numeric parameters
feature,overlap,overlap,tma_overlap,overlap_4k,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,28917,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,23928,not_in_ventus_list,,0,,exact numeric parameters
feature,overlap,overlap,tma_serial,overlap_4k,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,29176,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,24108.500,not_in_ventus_list,,0,,exact numeric parameters
feature,rank_stride,g2s,tma,rank1_contiguous,passed,bytes=128;rank=1;layout=contiguous;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=128;rank=1;layout=contiguous;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=128;rank=1;layout=contiguous;outstanding=1;ctas=1;batch=0,1,120,exact numeric parameters
feature,rank_stride,g2s,tma,rank2_contiguous,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,1,229,exact numeric parameters
feature,rank_stride,g2s,tma,rank2_element_stride2,passed,bytes=4096;rank=2;layout=element_stride2;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=2;layout=element_stride2;outstanding=1;ctas=1;batch=0,6,461,short_timeout,bytes=4096;rank=2;layout=element_stride2;outstanding=1;ctas=1;batch=0,0,,exact numeric parameters
feature,rank_stride,g2s,tma,rank2_row_stride2,passed,bytes=4096;rank=2;layout=row_stride2;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=2;layout=row_stride2;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=4096;rank=2;layout=row_stride2;outstanding=1;ctas=1;batch=0,1,229,exact numeric parameters
feature,rank_stride,g2s,tma,rank3_contiguous,passed,bytes=4096;rank=3;layout=contiguous;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=3;layout=contiguous;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=4096;rank=3;layout=contiguous;outstanding=1;ctas=1;batch=0,1,232,exact numeric parameters
feature,rank_stride,g2s,tma,rank4_contiguous,passed,bytes=4096;rank=4;layout=contiguous;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=4;layout=contiguous;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=4096;rank=4;layout=contiguous;outstanding=1;ctas=1;batch=0,1,235,exact numeric parameters
feature,rank_stride,g2s,tma,rank5_contiguous,passed,bytes=4096;rank=5;layout=contiguous;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=5;layout=contiguous;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=4096;rank=5;layout=contiguous;outstanding=1;ctas=1;batch=0,1,238,exact numeric parameters
feature,swizzle,roundtrip,tma,swizzle128,passed,bytes=4096;rank=2;layout=swizzle128;outstanding=1;ctas=1;batch=0,6,677.500,passed,bytes=4096;rank=2;layout=swizzle128;outstanding=1;ctas=1;batch=0,6,692,passed,bytes=4096;rank=2;layout=swizzle128;outstanding=1;ctas=1;batch=0,1,414,exact numeric parameters
